dm_seq,data_type,schema,db_object,frequency,data_provider,providing_system,interface,topic,data_retention,latency,data_in_qa0,row_count_per_period,active_in_prod,order_by,segment_by,special_notes,project_id,project_name
"0303, 0318, 0328",PM,XXX_JUNUCPE_DB/VIEWS,AIC_JNX_IFJNXSTAT,,jm416b,VEC,,,,,,,,,,,299630,
"0303, 0318, 0328",PM,XXX_JUNUCPE_DB/VIEWS,AIC_JNX_IFJNXSTAT_DC,,jm416b,VEC,,,,,,,,,,,299630,
"0303, 0318",PM,XXX_JUNUCPE_DB/VIEWS,AIC_JNX_INTERFACESTAT,,jm416b,VEC,,,,,,,,,,,299630,
0303,PM,XXX_JUNUCPE_DB/VIEWS,AIC_JNX_INTERFACESTAT_DC,,jm416b,VEC,,,Y,,,,,,,,299630,
0303,PM,XXX_JUNUCPE_DB/VIEWS,AIC_JNX_SPUCPUMEM,,jm416b,VEC,,,Y,,,,,,,,299630,
0434,Custom View,XXX_ALUEUTRAN_VIEWS,V_RBS_EUTRANCELL2_10_HR,,,,,,,,,,,,,,294739h/471588,
0434,Custom View,XXX_ALUEUTRAN_VIEWS,V_RBS_EUTRANCELL2_10_DY,,,,,,,,,,,,,,294739h/471588,
0434,Custom View,XXX_ALUEUTRAN_VIEWS,V_RBS_EUTRANCELL2_10_WK,,,,,,,,,,,,,,294739h/471588,
0434,Custom View,XXX_ALUEUTRAN_VIEWS,V_RBS_EUTRANCELL2_10_MO,,,,,,,,,,,,,,294739h/471588,
0442,PM,XXX_ALUVSBC_DB/VIEWS,USP_BUSYMCP_ALU,,QIM,Apollo,,,,,,,,,"DATETIME, ENODEB, EQUIPMENTSUPPORTFUNCTION, CLIMATE, DATETIMEUTC",,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,USP_CPU_ALU,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,USP_H248_ALU,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,USP_MCP_ALU,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,USP_MEMORY_ALU,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,USP_MGWPERIF_ALU,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,USP_MGWTRAFFIC_ALU,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,USP_PIP_ALU,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_ACTIONCOUNT,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_CAUSECOUNT,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_COMPONENTCOUNT,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_CPUPERCORE,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_CPUPERVM,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_CPUPERVNFC,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_DISK,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_ETHERCOUNT,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_EVENTCOUNT,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_FILESYSTEM,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_INTERFACECOUNT,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_KPI_COMPONENTCOUNT,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_MEMORYPERVM,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_MEMORYPERVNFC,,,,,,,,,,,,,,285296c,
0442,PM,XXX_ALUVSBC_DB/VIEWS,VISC_SERVICECOUNT,,,,,,,,,,,,,,285296c,
"0444, 0470",PM,XXX_DCAECOMMON_DB/VIEWS,AAI_SRIOV_PF,,,,,,,,,,,,,,297131a,
"0444, 0470",PM,XXX_DCAECOMMON_DB/VIEWS,AAI_SRIOV_VF,,,,,,,,,,,,,,297131a,
0448,PM,XXX_DCAEVES_DB/VIEWS,VES_MFVFS_CODECS,,,,,,,,,,,,,,301267,
0448,PM,XXX_DCAEVES_DB/VIEWS,VES_MFVFS_FEATURE,,,,,,,,,,,,,,301267,
0448,PM,XXX_DCAEVES_DB/VIEWS,VES_MFVFS_LATENCY,,,,,,,,,,,,,,301267,
0448,PM,XXX_DCAEVES_DB/VIEWS,VES_MFVFS_ADDTL_FLD,,,,,,,,,,,,,,301267,
0448,PM,XXX_DCAEVES_DB/VIEWS,VES_MFVFS_MEMORY,,,,,,,,,,,,,,301267,
0448,PM,XXX_DCAEVES_DB/VIEWS,VES_MFVFS_VNIC_PERF,,,,,,,,,,,,,,301267,
0448,PM,XXX_DCAEVES_DB/VIEWS,VES_MFVFS_SCALAR_FLD,,,,,,,,,,,,,,301267,
"0457, 0463",CM,XXX_PMCM_DB/VIEWS,CARRIER_PROFILE,,,,,,,,,,,,,,283554d,
0460,CM,XXX_PMCM_DB/VIEWS,CARRIER_PROFILE,,,,,,,,,,,,,,291722,
424,PM,XXX_ATTGFP_DB/VIEWS,DISK_IO,5 min,VCC,VCC,DCAE_SAM_GUEST_OS/DCAE_VCC_GUEST_OS,,32,,,,New Table,"DATETIME, DATETIMEUTC","DATETIME, DATETIMEUTC",,299630,
424,PM,XXX_ATTGFP_DB/VIEWS,DISK_IO_HR,5 min,VCC,VCC,NA,,180,,,,New Table,"DATETIME, DATETIMEUTC","DATETIME, DATETIMEUTC",,299630,
424,PM,XXX_ATTGFP_DB/VIEWS,V_DISK_IO_HR,5 min,VCC,VCC,NA,,,,,,New Custom View,,,,299630,
"0469, 0471",OPENNET VOCG,XXX_OPENVOCG_DB,GTP_CLIENT,5 min,"IGNACIO, OLIVER M (oi2832)",VCC,DMD,,,,Y,,,"DATETIMEUTC, SERVICE, NODENAME, NODETYPE, FUNC_CODE, LOCATION, COMPONENT_NAME, ASSOCIATED_NAME","DATETIMEUTC, SERVICE, NODENAME, NODETYPE, FUNC_CODE, LOCATION, COMPONENT_NAME, ASSOCIATED_NAME",,299630,
"0469, 0471",OPENNET VOCG,XXX_OPENVOCG_DB,GTP_CLIENT_HR,5 min,"IGNACIO, OLIVER M (oi2832)",VCC,DMD,,,,Y,,,"DATETIMEUTC, SERVICE, NODENAME, NODETYPE, FUNC_CODE, LOCATION, COMPONENT_NAME, ASSOCIATED_NAME","DATETIMEUTC, SERVICE, NODENAME, NODETYPE, FUNC_CODE, LOCATION, COMPONENT_NAME, ASSOCIATED_NAME",,299630,
"0469, 0471",OPENNET VOCG,XXX_OPENVOCG_DB,GTP_SERVER,5 min,"IGNACIO, OLIVER M (oi2832)",VCC,DMD,,,,Y,,,"DATETIMEUTC, SERVICE, NODENAME, NODETYPE, FUNC_CODE, LOCATION, COMPONENT_NAME, ASSOCIATED_NAME","DATETIMEUTC, SERVICE, NODENAME, NODETYPE, FUNC_CODE, LOCATION, COMPONENT_NAME, ASSOCIATED_NAME",,299630,
"0469, 0471",OPENNET VOCG,XXX_OPENVOCG_DB,GTP_SERVER_HR,5 min,"IGNACIO, OLIVER M (oi2832)",VCC,DMD,,,,Y,,,"DATETIMEUTC, SERVICE, NODENAME, NODETYPE, FUNC_CODE, LOCATION, COMPONENT_NAME, ASSOCIATED_NAME","DATETIMEUTC, SERVICE, NODENAME, NODETYPE, FUNC_CODE, LOCATION, COMPONENT_NAME, ASSOCIATED_NAME",,299630,
"0469, 0471",OPENNET VOCG,XXX_OPENVOCG_VIEWS,V_GTP_CLIENT_HR,5 min,"IGNACIO, OLIVER M (oi2832)",VCC,DMD,,,,Y,,,"DATETIMEUTC, SERVICE, NODENAME, NODETYPE, FUNC_CODE, LOCATION, COMPONENT_NAME, ASSOCIATED_NAME","DATETIMEUTC, SERVICE, NODENAME, NODETYPE, FUNC_CODE, LOCATION, COMPONENT_NAME, ASSOCIATED_NAME",,299630,
