id|project_name|pid|pmt
|New Project|12345|54321
|New Project 2|23456|2468
|VPMS Backend & DB - Wave 2  |293586|464839
|NexGen SeGW for AIC |289865|457984
||287479CO |
|ADIG on vPE FFA and OSS/BSS development Release 1a |295793|471729/463205 
| T07 72c PSD TechOps ECOMP Theme 7 Package 1 - 296151a |301267|470524 or 471913 
|VPMS Backend & DB - Wave 2  |293586|
|Automation - End-to-End Incident Management - Release 1 - PI 3  |298822B |469049
|Support Firstnet’s high visibility |QH-MS-1804001 |vetl 471531/vertica 476634 
|Adding GMIS vPE to iTAS |295793|463205
|open DCAE to support Next Gen Virtual Route Reflector (vRR) |282055d |471533/469760 
|T17.13.1 DCAE Platform Evolution |301368|472632/470527 
|"SAREA Automation Optimization and Contended ETH
"|294728c |472635/470103 
|Robocalling TN Authentication (STIR/SHAKEN) - USP |297122|471550/466778 
||297131A |471516
||297519|471801
|NoD - Move to AIC3 0&nbsp; Features&nbsp;&nbsp; testing |291247D |471545
|vUSP Geo-Redundancy Redesign (2+2) |295390|471607/464532 
|New Day vPE Service Assurance and Delivery ADI - 297100a |297100a |471713
|Robocalling TN Authentication (STIR/SHAKEN) - USP (ID: 297122) |297122|471550/466778 
